item_name,item_price,store,date,item_des,item_cat
<โปรโมชัน> ลด 50% ซื้อโดนัท 6 แถม 6 เพียง 198 บาท,198,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,ปกติ 396 เหลือ 198,Today's Offer
<โปรโมชัน> ซื้อโดนัท 4 แถม 2 เพียง 132 บาท,132,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,ปกติ 198 เหลือ 132,Today's Offer
<โปรโมชัน> ซื้อโดนัทเกลซด์ 1 ชิ้น + กาแฟเย็น 1 แก้ว เพียง 79 บาท,79,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,"ปกติ 93 เหลือ 79 ซื้อโดนัทเกลซด์ 1 ชิ้น + กาแฟเย็น 1 แก้ว (เอสเปรสโซ่, อเมริกาโน่, คาปูชิโน่, ลาเต้, มอคค่า) เพียง 79 บาท",Today's Offer
ซื้อโดนัทช็อกโกแลต 3 ชิ้น + โดนัทสตรอว์เบอร์รี 3 ชิ้น ราคา 125 บาท GrabBox 🍱,125,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,ปกติ 198 เหลือ 125,Today's Offer
Durian Coconut ทุเรียน โคโค่นัท,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,,Durian Donut
Durian Fruit Cream ทุเรียน ฟรุต ครีม,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,,Durian Donut
Durian Magic ทุเรียน เมจิก,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,,Durian Donut
Durian Ring ทุเรียน ริง,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,,Durian Donut
Durian Tart ทุเรียน ทาร์ต,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,,Durian Donut
Mochi Durian โมจิ ทุเรียน,33,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,,Durian Donut
Water Bottle Orange,79,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,,Water Bottle
Water Bottle Green,79,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,,Water Bottle
Water Bottle Yellow,79,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,,Water Bottle
Water Bottle Blue,79,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,,Water Bottle
Water Bottle Purple,79,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,,Water Bottle
ซื้อโดนัทช็อกโกแลต 3 ชิ้น + โดนัทสตรอว์เบอร์รี 3 ชิ้น ราคา 125 บาท GrabBox 🍱,125,Dunkin' (ดังกิ้น) - เกตเวย์เอกมัย,2023-06-18 01:53,ปกติ 198 เหลือ 125,เมนูเด็ดจัดเซ็ทเองได้
